File;N;P;Population_Size;Mutation_Prob;Fitness
1;10;4;50.0;0.01;1.1239606809189516E8
1;10;4;50.0;0.05;1.1239606809189516E8
1;10;4;50.0;0.1;1.1239606809189516E8
1;10;4;50.0;0.2;1.1239606809189516E8
1;10;4;100.0;0.01;1.1284858895573315E8
1;10;4;100.0;0.05;1.1239606809189516E8
1;10;4;100.0;0.1;1.1239606809189516E8
1;10;4;100.0;0.2;1.1239606809189516E8
1;10;4;150.0;0.01;1.1239606809189516E8
1;10;4;150.0;0.05;1.1239606809189516E8
1;10;4;150.0;0.1;1.1239606809189516E8
1;10;4;150.0;0.2;1.1239606809189516E8
1;10;4;200.0;0.01;1.1469302257309836E8
1;10;4;200.0;0.05;1.1239606809189516E8
1;10;4;200.0;0.1;1.1239606809189516E8
1;10;4;200.0;0.2;1.1239606809189516E8
1;10;5;10.0;0.01;1.041881640075578E8
1;10;5;10.0;0.05;1.037418737944994E8
1;10;5;10.0;0.1;1.1343286347127955E8
1;10;5;10.0;0.2;1.0086293904897639E8
1;10;5;50.0;0.01;9.11053706838308E7
1;10;5;50.0;0.05;9.11053706838308E7
1;10;5;50.0;0.1;9.11053706838308E7
1;10;5;50.0;0.2;9.11053706838308E7
1;10;5;100.0;0.01;9.11053706838308E7
1;10;5;100.0;0.05;9.11053706838308E7
1;10;5;100.0;0.1;9.11053706838308E7
1;10;5;100.0;0.2;9.11053706838308E7
1;10;5;150.0;0.01;9.11053706838308E7
1;10;5;150.0;0.05;9.11053706838308E7
1;10;5;150.0;0.1;9.11053706838308E7
1;10;5;150.0;0.2;9.11053706838308E7
1;10;5;200.0;0.01;9.159719998665822E7
1;10;5;200.0;0.05;9.11053706838308E7
1;10;5;200.0;0.1;9.11053706838308E7
1;10;5;200.0;0.2;9.11053706838308E7
2;20;2;10.0;0.01;1.8718573142349464E8
2;20;2;10.0;0.05;1.908811262290854E8
2;20;2;10.0;0.1;2.1973817142812037E8
2;20;2;10.0;0.2;1.980460302037956E8
2;20;2;50.0;0.01;1.7281668972096133E8
2;20;2;50.0;0.05;1.7281668972096133E8
2;20;2;50.0;0.1;1.7281668972096133E8
2;20;2;50.0;0.2;1.7988488801728088E8
2;20;2;100.0;0.01;1.7281668972096133E8
2;20;2;100.0;0.05;1.7281668972096133E8
2;20;2;100.0;0.1;1.756382069513482E8
2;20;2;100.0;0.2;1.7281668972096133E8
2;20;2;150.0;0.01;1.7281668972096133E8
2;20;2;150.0;0.05;1.756382069513482E8
2;20;2;150.0;0.1;1.7281668972096133E8
2;20;2;150.0;0.2;1.7281668972096133E8
2;20;2;200.0;0.01;1.7281668972096133E8
2;20;2;200.0;0.05;1.7281668972096133E8
2;20;2;200.0;0.1;1.7281668972096133E8
2;20;2;200.0;0.2;1.7281668972096133E8
2;20;3;10.0;0.01;1.5695414605269352E8
2;20;3;10.0;0.05;1.6670683991344467E8
2;20;3;10.0;0.1;1.6135272362007087E8
2;20;3;10.0;0.2;1.766345447811049E8
2;20;3;50.0;0.01;1.5562067929061368E8
2;20;3;50.0;0.05;1.5917036265488893E8
2;20;3;50.0;0.1;1.5917036265488893E8
2;20;3;50.0;0.2;1.5265188683051965E8
2;20;3;100.0;0.01;1.5265188683051965E8
2;20;3;100.0;0.05;1.5382868963301063E8
2;20;3;100.0;0.1;1.5710690306920162E8
2;20;3;100.0;0.2;1.515330837777331E8
2;20;3;150.0;0.01;1.5265188683051965E8
2;20;3;150.0;0.05;1.5265188683051965E8
2;20;3;150.0;0.1;1.5695414605269352E8
2;20;3;150.0;0.2;1.515330837777331E8
2;20;3;200.0;0.01;1.5265188683051965E8
2;20;3;200.0;0.05;1.515330837777331E8
2;20;3;200.0;0.1;1.5265188683051965E8
2;20;3;200.0;0.2;1.515330837777331E8
2;20;4;10.0;0.01;1.4821299611946E8
2;20;4;10.0;0.05;1.5058878588527763E8
2;20;4;10.0;0.1;1.4925449012225294E8
