File;N;P;Initial_Temperature;Reduction_coef;Fitness
4;40;5;1000.0;0.85;1.461598388155533E8
4;40;5;1000.0;0.9;1.3631494803593457E8
4;40;5;1000.0;0.95;1.4234376956797308E8
4;40;5;1000.0;0.97;1.3607189536022186E8
5;50;2;100.0;0.85;1.7848428570258635E8
5;50;2;100.0;0.9;1.7854898256064263E8
5;50;2;100.0;0.95;1.7848428570258635E8
5;50;2;100.0;0.97;1.7854898256064263E8
5;50;2;1000.0;0.85;1.7848428570258635E8
5;50;2;1000.0;0.9;1.7848428570258635E8
5;50;2;1000.0;0.95;1.7854898256064263E8
5;50;2;1000.0;0.97;1.7848428570258635E8
5;50;3;100.0;0.85;1.7025876007779694E8
5;50;3;100.0;0.9;1.5856993339481157E8
5;50;3;100.0;0.95;1.6968903147359392E8
5;50;3;100.0;0.97;1.632830625607912E8
5;50;3;1000.0;0.85;1.5856993339481157E8
5;50;3;1000.0;0.9;1.5856993339481157E8
5;50;3;1000.0;0.95;1.7025876007779694E8
5;50;3;1000.0;0.97;1.5856993339481157E8
5;50;4;100.0;0.85;1.5055295607648388E8
5;50;4;100.0;0.9;1.484965133473282E8
5;50;4;100.0;0.95;1.494183464134885E8
5;50;4;100.0;0.97;1.5690760108158723E8
5;50;4;1000.0;0.85;1.5049128665597484E8
5;50;4;1000.0;0.9;1.494183464134885E8
5;50;4;1000.0;0.95;1.531885946580307E8
5;50;4;1000.0;0.97;1.494183464134885E8
5;50;5;100.0;0.85;1.418909770418148E8
5;50;5;100.0;0.9;1.4409023845256585E8
5;50;5;100.0;0.95;1.4485741135380948E8
5;50;5;100.0;0.97;1.3432720012715513E8
5;50;5;1000.0;0.85;1.418909770418148E8
5;50;5;1000.0;0.9;1.3897422220163235E8
5;50;5;1000.0;0.95;1.4006758193906707E8
5;50;5;1000.0;0.97;1.402152851252666E8
200;200;8;100.0;0.85;1.2889296561198759E8
200;200;8;100.0;0.9;1.2450853435768838E8
200;200;8;100.0;0.95;1.316737312461793E8
200;200;8;100.0;0.97;1.2654902696546753E8
200;200;8;1000.0;0.85;1.3025143180325143E8
200;200;8;1000.0;0.9;1.2758975022594373E8
200;200;8;1000.0;0.95;1.2792987409117898E8
200;200;8;1000.0;0.97;1.226779968407994E8
